date,men,women,boomer,100_men,100_women,100_boomer,men_shortfall,women_shortfall,boomer_shortfall,total_shortfall,men_share,women_share,boomer_share
2020-02-01,74654,67799,9646,100,100,100,0,0,0,0,0,0,0
2020-03-01,73756,66379,9144,98.8,97.91,94.8,898,1420,502,2820,32,50,18
2020-04-01,64877,55927,7717,86.9,82.49,80,9777,11872,1929,23578,41,50,8
2020-05-01,66766,57888,7830,89.43,85.38,81.17,7888,9911,1816,19615,40,51,9
2020-06-01,68941,60541,8128,92.35,89.29,84.26,5713,7258,1518,14489,39,50,10
2020-07-01,69751,61163,8553,93.43,90.21,88.67,4903,6636,1093,12632,39,53,9
2020-08-01,71015,62360,8595,95.13,91.98,89.1,3639,5439,1051,10129,36,54,10
2020-09-01,70944,62663,8898,95.03,92.42,92.25,3710,5136,748,9594,39,54,8
2020-10-01,71822,64174,9020,96.21,94.65,93.51,2832,3625,626,7083,40,51,9
2020-11-01,71246,64343,9207,95.43,94.9,95.45,3408,3456,439,7303,47,47,6
2020-12-01,71108,64145,9041,95.25,94.61,93.73,3546,3654,605,7805,45,47,8
2021-01-01,70857,63405,8977,94.91,93.52,93.06,3797,4394,669,8860,43,50,8
2021-02-01,71255,64245,8812,95.45,94.76,91.35,3399,3554,834,7787,44,46,11
2021-03-01,71553,64580,8901,95.85,95.25,92.28,3101,3219,745,7065,44,46,11
2021-04-01,72099,64436,9040,96.58,95.04,93.72,2555,3363,606,6524,39,52,9
2021-05-01,72535,64636,8885,97.16,95.33,92.11,2119,3163,761,6043,35,52,13
2021-06-01,72934,64482,8841,97.7,95.11,91.65,1720,3317,805,5842,29,57,14
2021-07-01,73816,65107,8748,98.88,96.03,90.69,838,2692,898,4428,19,61,20
2021-08-01,73364,64775,9088,98.27,95.54,94.22,1290,3024,558,4872,26,62,11
2021-09-01,73102,65190,9317,97.92,96.15,96.59,1552,2609,329,4490,35,58,7
2021-10-01,73652,65667,9296,98.66,96.86,96.37,1002,2132,350,3484,29,61,10
,,,,,,,,,,,,,