date,unemployed,searched,nosearch
1994-01-01,8630,2120,4603
1994-02-01,8583,1951,4364
1994-03-01,8470,1832,4555
1994-04-01,8331,1770,4866
1994-05-01,7915,1659,4704
1994-06-01,7927,1777,4305
1994-07-01,7946,1844,4434
1994-08-01,7933,1726,4293
1994-09-01,7734,1858,4156
1994-10-01,7632,1663,4195
1994-11-01,7375,1674,4216
1994-12-01,7230,1810,4135
1995-01-01,7375,1783,4007
1995-02-01,7187,1721,4025
1995-03-01,7153,1732,4105
1995-04-01,7645,1390,4094
1995-05-01,7430,1504,4215
1995-06-01,7427,1574,4028
1995-07-01,7527,1568,3933
1995-08-01,7484,1510,4053
1995-09-01,7478,1583,4072
1995-10-01,7328,1587,4117
1995-11-01,7426,1542,4045
1995-12-01,7423,1619,4233
1996-01-01,7491,1737,3862
1996-02-01,7313,1838,3851
1996-03-01,7318,1584,3931
1996-04-01,7415,1516,3984
1996-05-01,7423,1475,3981
1996-06-01,7095,1684,3907
1996-07-01,7337,1490,3885
1996-08-01,6882,1436,4025
1996-09-01,6979,1518,3832
1996-10-01,7031,1447,3947
1996-11-01,7236,1503,3797
1996-12-01,7253,1463,3665
1997-01-01,7158,1615,3430
1997-02-01,7102,1546,3600
1997-03-01,7000,1471,3598
1997-04-01,6873,1480,3413
1997-05-01,6655,1431,3769
1997-06-01,6799,1428,3495
1997-07-01,6655,1281,3633
1997-08-01,6608,1298,3521
1997-09-01,6656,1363,3473
1997-10-01,6454,1284,3488
1997-11-01,6308,1337,3515
1997-12-01,6476,1453,3313
1998-01-01,6368,1479,3451
1998-02-01,6306,1478,3334
1998-03-01,6422,1426,3474
1998-04-01,5941,1278,3613
1998-05-01,6047,1213,3478
1998-06-01,6212,1213,3579
1998-07-01,6259,1328,3524
1998-08-01,6179,1251,3700
1998-09-01,6300,1377,3538
1998-10-01,6280,1242,3620
1998-11-01,6100,1240,3328
1998-12-01,6032,1196,3354
1999-01-01,5976,1358,3348
1999-02-01,6111,1279,3359
1999-03-01,5783,1245,3386
1999-04-01,6004,1257,3521
1999-05-01,5796,1148,3487
1999-06-01,5951,1228,3569
1999-07-01,6025,1133,3384
1999-08-01,5838,1134,3399
1999-09-01,5915,1172,3178
1999-10-01,5778,1184,3126
1999-11-01,5716,1128,3300
1999-12-01,5653,1142,3252
2000-01-01,5708,1207,3095
2000-02-01,5858,1281,3177
2000-03-01,5733,1219,3470
2000-04-01,5481,1216,3212
2000-05-01,5758,1113,3272
2000-06-01,5651,1142,3171
2000-07-01,5747,1172,3258
2000-08-01,5853,1097,3193
2000-09-01,5625,1166,3223
2000-10-01,5534,1044,3349
2000-11-01,5639,1100,3232
2000-12-01,5634,1125,3426
2001-01-01,6023,1295,3106
2001-02-01,6089,1337,3234
2001-03-01,6141,1109,3188
2001-04-01,6271,1131,3378
2001-05-01,6226,1157,3359
2001-06-01,6484,1170,3467
2001-07-01,6583,1232,3257
2001-08-01,7042,1364,3536
2001-09-01,7142,1335,3242
2001-10-01,7694,1398,3293
2001-11-01,8003,1331,3420
2001-12-01,8258,1330,3407
2002-01-01,8182,1532,3271
2002-02-01,8215,1423,3136
2002-03-01,8304,1358,3240
2002-04-01,8599,1397,3212
2002-05-01,8399,1467,3358
2002-06-01,8393,1380,3386
2002-07-01,8390,1507,3340
2002-08-01,8304,1456,3171
2002-09-01,8251,1501,3186
2002-10-01,8307,1416,3013
2002-11-01,8520,1401,3332
2002-12-01,8640,1432,3135
2003-01-01,8520,1598,3034
2003-02-01,8618,1590,3010
2003-03-01,8588,1577,3339
2003-04-01,8842,1399,3052
2003-05-01,8957,1428,3382
2003-06-01,9266,1468,3272
2003-07-01,9011,1566,3289
2003-08-01,8896,1665,3165
2003-09-01,8921,1544,3288
2003-10-01,8732,1586,3174
2003-11-01,8576,1473,3061
2003-12-01,8317,1483,3212
2004-01-01,8370,1670,3099
2004-02-01,8167,1691,3059
2004-03-01,8491,1643,3173
2004-04-01,8170,1526,3164
2004-05-01,8212,1533,3208
2004-06-01,8286,1492,3156
2004-07-01,8136,1557,3104
2004-08-01,7990,1587,3346
2004-09-01,7927,1561,3369
2004-10-01,8061,1647,3630
2004-11-01,7932,1517,3596
2004-12-01,7934,1463,3486
2005-01-01,7784,1804,3188
2005-02-01,7980,1673,3295
2005-03-01,7737,1588,3430
2005-04-01,7672,1511,3603
2005-05-01,7651,1428,3343
2005-06-01,7524,1583,3639
2005-07-01,7406,1516,3431
2005-08-01,7345,1583,3230
2005-09-01,7553,1438,3552
2005-10-01,7453,1414,3579
2005-11-01,7566,1415,3403
2005-12-01,7279,1589,3594
2006-01-01,7064,1644,3320
2006-02-01,7184,1471,3430
2006-03-01,7072,1468,3450
2006-04-01,7120,1310,3409
2006-05-01,6980,1388,3247
2006-06-01,7001,1584,3142
2006-07-01,7175,1522,3340
2006-08-01,7091,1592,3359
2006-09-01,6847,1299,3367
2006-10-01,6727,1478,3390
2006-11-01,6872,1366,3452
2006-12-01,6762,1252,3138
2007-01-01,7116,1577,2929
2007-02-01,6927,1451,3255
2007-03-01,6731,1385,3180
2007-04-01,6850,1391,3403
2007-05-01,6766,1406,3562
2007-06-01,6979,1454,3403
2007-07-01,7149,1376,3361
2007-08-01,7067,1365,3462
2007-09-01,7170,1268,3482
2007-10-01,7237,1364,2988
2007-11-01,7240,1363,3285
2007-12-01,7645,1344,3313
2008-01-01,7685,1729,3117
2008-02-01,7497,1585,3154
2008-03-01,7822,1352,3366
2008-04-01,7637,1414,3319
2008-05-01,8395,1416,3435
2008-06-01,8575,1558,3371
2008-07-01,8937,1573,3450
2008-08-01,9438,1640,3282
2008-09-01,9494,1604,3549
2008-10-01,10074,1637,3457
2008-11-01,10538,1947,3474
2008-12-01,11286,1908,3523
2009-01-01,12058,2130,3578
2009-02-01,12898,2051,3566
2009-03-01,13426,2106,3701
2009-04-01,13853,2089,3838
2009-05-01,14499,2210,3776
2009-06-01,14707,2176,3732
2009-07-01,14601,2282,3721
2009-08-01,14814,2270,3379
2009-09-01,15009,2219,3730
2009-10-01,15352,2373,3629
2009-11-01,15219,2323,3675
2009-12-01,15098,2486,3700
2010-01-01,15046,2539,3403
2010-02-01,15113,2527,3571
2010-03-01,15202,2255,3738
2010-04-01,15325,2432,3481
2010-05-01,14849,2223,3601
2010-06-01,14474,2591,3318
2010-07-01,14512,2622,3273
2010-08-01,14648,2370,3667
2010-09-01,14579,2548,3722
2010-10-01,14516,2602,3687
2010-11-01,15081,2531,3651
2010-12-01,14348,2609,3822
2011-01-01,14013,2800,3672
2011-02-01,13820,2730,3660
2011-03-01,13737,2434,4093
2011-04-01,13957,2466,4071
2011-05-01,13855,2206,4083
2011-06-01,13962,2680,3839
2011-07-01,13763,2785,3728
2011-08-01,13818,2575,3888
2011-09-01,13948,2511,3751
2011-10-01,13594,2555,3829
2011-11-01,13302,2591,3947
2011-12-01,13093,2540,3783
2012-01-01,12797,2809,3534
2012-02-01,12813,2608,3727
2012-03-01,12713,2352,3950
2012-04-01,12646,2363,4063
2012-05-01,12660,2423,3886
2012-06-01,12692,2483,4081
2012-07-01,12656,2529,3987
2012-08-01,12471,2561,4450
2012-09-01,12115,2517,4300
2012-10-01,12124,2433,4118
2012-11-01,12005,2505,4328
2012-12-01,12298,2614,4114
2013-01-01,12471,2443,4194
2013-02-01,11950,2588,4184
2013-03-01,11689,2326,4344
2013-04-01,11760,2347,4081
2013-05-01,11654,2164,4562
2013-06-01,11751,2582,4032
2013-07-01,11335,2414,4112
2013-08-01,11279,2342,3942
2013-09-01,11270,2302,3817
2013-10-01,11136,2283,3741
2013-11-01,10787,2096,3658
2013-12-01,10404,2427,3699
2014-01-01,10202,2592,3768
2014-02-01,10349,2303,3708
2014-03-01,10380,2168,4006
2014-04-01,9702,2160,4047
2014-05-01,9859,2130,4423
2014-06-01,9460,2028,4179
2014-07-01,9608,2178,4086
2014-08-01,9599,2141,4235
2014-09-01,9262,2226,4100
2014-10-01,8990,2192,4239
2014-11-01,9090,2109,4449
2014-12-01,8717,2260,4146
2015-01-01,8885,2234,4066
2015-02-01,8599,2159,4344
2015-03-01,8515,2055,4300
2015-04-01,8550,2115,4106
2015-05-01,8834,1862,4189
2015-06-01,8247,1914,4216
2015-07-01,8167,1927,4170
2015-08-01,7992,1812,4078
2015-09-01,7907,1921,3947
2015-10-01,7922,1916,4081
2015-11-01,8000,1717,3932
2015-12-01,7907,1833,4076
2016-01-01,7627,2089,3917
2016-02-01,7702,1803,4124
2016-03-01,7961,1720,4010
2016-04-01,8067,1715,4097
2016-05-01,7652,1713,4249
2016-06-01,7744,1779,3811
2016-07-01,7641,1950,3956
2016-08-01,7784,1713,4039
2016-09-01,7953,1844,4173
2016-10-01,7811,1700,4248
2016-11-01,7553,1932,3932
2016-12-01,7521,1684,3984
2017-01-01,7466,1752,4021
2017-02-01,7376,1723,3909
2017-03-01,7119,1595,4194
2017-04-01,7196,1534,4176
2017-05-01,7020,1475,4006
2017-06-01,6861,1582,3646
2017-07-01,6825,1629,3745
2017-08-01,7079,1548,4218
2017-09-01,6840,1569,4090
2017-10-01,6620,1535,3738
2017-11-01,6759,1481,3739
2017-12-01,6632,1623,3677
2018-01-01,6496,1653,3551
2018-02-01,6590,1602,3554
2018-03-01,6499,1454,3619
2018-04-01,6551,1362,3802
2018-05-01,6209,1455,3743
2018-06-01,6432,1437,3726
2018-07-01,6130,1498,3646
2018-08-01,6167,1443,3990
2018-09-01,6037,1577,3719
2018-10-01,6164,1491,3896
2018-11-01,6115,1678,3727
2018-12-01,6379,1556,3801
2019-01-01,6442,1614,3657
2019-02-01,6128,1424,3794
2019-03-01,6201,1357,3810
2019-04-01,5995,1417,3688
2019-05-01,5965,1395,3602
2019-06-01,5914,1571,3665
2019-07-01,5969,1478,3480
2019-08-01,6000,1564,3649
2019-09-01,5728,1299,3546
2019-10-01,5922,1229,3533
2019-11-01,5907,1246,3607
2019-12-01,5844,1246,3642
2020-01-01,5796,1464,3484
2020-02-01,5717,1494,3516
2020-03-01,7185,1380,4110
2020-04-01,23109,2211,7706
2020-05-01,20975,2292,6625
2020-06-01,17697,2486,5650
2020-07-01,16308,2027,5653
2020-08-01,13542,2083,4966
2020-09-01,12535,1921,5263
2020-10-01,11049,1923,4759
2020-11-01,10728,2068,5059
2020-12-01,10736,2197,5134
2021-01-01,10130,2053,4904
2021-02-01,9972,1942,4991
2021-03-01,9710,1783,5067
2021-04-01,9812,1763,4884
2021-05-01,9316,1872,4728
2021-06-01,9484,1856,4572
2021-07-01,8702,1923,4594
2021-08-01,8384,1558,4124
2021-09-01,7674,1732,4237
2021-10-01,7419,1638,4340