date,Employed to NILF,Unemployed to NILF,Other to NILF,NILF to Employed,NILF to Unemployed,NILF to Other,net_out,,,,,,,,
2019-01-01,4486,1429,322,-4494.00000,-1851.00000,-484.00000,592.00000,,,,,,,,
2019-02-01,4749,1775,326,-4692.00000,-1766.00000,-204.00000,188.00000,,,,,,,,
2019-03-01,4790,1472,259,-4418.00000,-1735.00000,-201.00000,167.00000,,,,,,,,
2019-04-01,4785,1537,280,-4368.00000,-1603.00000,-201.00000,430.00000,,,,,,,,
2019-05-01,4687,1569,353,-4655.00000,-1688.00000,-209.00000,57.00000,,,,,,,,
2019-06-01,4620,1454,303,-4658.00000,-1539.00000,-202.00000,-22.00000,,,,,,,,
2019-07-01,4516,1323,550,-4800.00000,-1672.00000,-269.00000,-352.00000,,,,,,,,
2019-08-01,4727,1410,318,-4625.00000,-1696.00000,-202.00000,-68.00000,,,,,,,,
2019-09-01,4582,1550,308,-4527.00000,-1602.00000,-202.00000,109.00000,,,,,,,,
2019-10-01,4588,1445,333,-4696.00000,-1582.00000,-202.00000,-114.00000,,,,,,,,
2019-11-01,4608,1382,294,-4506.00000,-1568.00000,-202.00000,8.00000,,,,,,,,
2019-12-01,4769,1407,304,-4623.00000,-1626.00000,-202.00000,29.00000,,,,,,,,
2020-01-01,4588,1401,323,-4774.00000,-1584.00000,-510.00000,-556.00000,,,,,,,,
2020-02-01,4533,1453,273,-4400.00000,-1523.00000,-202.00000,134.00000,,,,,,,,
2020-03-01,5836,1467,295,-3959.00000,-1579.00000,-202.00000,1858.00000,,,,,,,,
2020-04-01,9356,2581,298,-3369.00000,-2284.00000,-202.00000,6380.00000,,,,,,,,
2020-05-01,4470,3490,298,-5380.00000,-4246.00000,-202.00000,-1570.00000,,,,,,,,
2020-06-01,3599,3097,275,-4515.00000,-3692.00000,-202.00000,-1438.00000,,,,,,,,
2020-07-01,4093,3060,592,-4210.00000,-3351.00000,-303.00000,-119.00000,,,,,,,,
2020-08-01,4031,2782,283,-4680.00000,-2763.00000,-203.00000,-550.00000,,,,,,,,
2020-09-01,4602,2778,372,-4038.00000,-2581.00000,-208.00000,925.00000,,,,,,,,
2020-10-01,4157,2595,341,-4823.00000,-2524.00000,-203.00000,-457.00000,,,,,,,,
2020-11-01,4733,2118,307,-4237.00000,-2376.00000,-203.00000,342.00000,,,,,,,,
2020-12-01,4636,2345,304,-4452.00000,-2515.00000,-203.00000,115.00000,,,,,,,,
2021-01-01,4342,2241,303,-4219.00000,-2252.00000,-387.00000,28.00000,,,,,,,,
2021-02-01,4529,2027,264,-4187.00000,-2408.00000,-208.00000,17.00000,,,,,,,,
2021-03-01,4288,2195,287,-4452.00000,-2378.00000,-203.00000,-263.00000,,,,,,,,
2021-04-01,4554,1990,325,-4703.00000,-2276.00000,-220.00000,-330.00000,,,,,,,,
2021-05-01,4759,2271,265,-4603.00000,-2328.00000,-203.00000,161.00000,,,,,,,,
2021-06-01,4737,1908,292,-4378.00000,-2377.00000,-203.00000,-21.00000,,,,,,,,
2021-07-01,4349,2260,556,-4903.00000,-2079.00000,-314.00000,-131.00000,,,,,,,,
2021-08-01,4855,1899,284,-4681.00000,-2202.00000,-204.00000,-49.00000,,,,,,,,
2021-09-01,4612,1970,352,-4579.00000,-1802.00000,-215.00000,338.00000,,,,,,,,
2021-10-01,5019,1712,272,-4809.00000,-1951.00000,-204.00000,39.00000,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,